,weight
ENSG00000189136,0.4802205501786622
ENSG00000183688,0.4579931843176069
ENSG00000131747,0.4481776124534527
ENSG00000185825,0.4232856013767921
ENSG00000100722,0.3307835251873423
ENSG00000115457,0.3286049814189844
ENSG00000064393,0.3240519401157147
ENSG00000175155,0.3234293711990049
ENSG00000152061,0.32284761987761434
ENSG00000138378,0.2809435874017479
ENSG00000112031,0.271915841624835
ENSG00000188191,0.267305563842676
ENSG00000163359,0.2594142735139112
ENSG00000163848,0.2583962777624424
ENSG00000173221,0.24068373296333054
ENSG00000155465,0.23767107239662888
ENSG00000175826,0.22827897588029955
ENSG00000142089,0.2125066684805483
ENSG00000104218,0.21114518046002329
ENSG00000077147,0.19968524422701195
ENSG00000136003,0.19758841375320946
ENSG00000110665,0.18449901733455348
ENSG00000136436,0.17597080271818893
ENSG00000143393,0.1740562564113646
ENSG00000055130,0.1676786218877837
ENSG00000164609,0.16645036999013121
ENSG00000198162,0.15889369610679946
ENSG00000089737,0.1536698239268462
ENSG00000105220,0.153317543475644
ENSG00000116288,0.14746222342361992
ENSG00000197386,0.14661269851577807
ENSG00000161547,0.14410303811415134
ENSG00000172466,0.14300976844110722
ENSG00000103811,0.14137167772877832
ENSG00000181789,0.13381353526332734
ENSG00000029725,0.13048892751726263
ENSG00000126458,0.13011203077805208
ENSG00000015171,0.1250692851209425
ENSG00000163527,0.12487434267347414
ENSG00000113407,0.12451036265469662
ENSG00000140105,0.12216454340467345
ENSG00000183431,0.12089018693857957
ENSG00000039123,0.12041852197525996
ENSG00000149131,0.11944574404348565
ENSG00000105483,0.11821230448535053
ENSG00000158062,0.11785808277771016
ENSG00000087237,0.1170725070597186
ENSG00000130638,0.1119288948290758
ENSG00000069535,0.10778652908852136
ENSG00000145022,0.10483985578628016
ENSG00000008282,0.10207807949457245
ENSG00000163947,0.10176189692051274
ENSG00000141380,0.1006197434656502
ENSG00000163219,0.09877543778887865
ENSG00000138095,0.09092464403651343
ENSG00000164329,0.08999365083096117
ENSG00000105856,0.08616647984714962
ENSG00000100823,0.08389705972947319
ENSG00000134198,0.08283127092511333
ENSG00000080503,0.08189115344274689
ENSG00000031698,0.07963248919989105
ENSG00000235162,0.07726143684272128
ENSG00000141367,0.07714051371746422
ENSG00000205593,0.07702620703107105
ENSG00000159579,0.07153040748897913
ENSG00000168310,0.0712013383912681
ENSG00000100243,0.06646888530040053
ENSG00000108798,0.06414510778190216
ENSG00000105711,0.05713236107328369
ENSG00000062194,0.05472923176322621
ENSG00000105402,0.05422599099694579
ENSG00000143110,0.051513047711964736
ENSG00000109606,0.050525960886082556
ENSG00000093010,0.04406787011770187
ENSG00000155097,0.04147682690824424
ENSG00000124207,0.04015053685930421
ENSG00000136247,0.03691631762770516
ENSG00000103876,0.03689575555355587
ENSG00000060688,0.03503080599969623
ENSG00000137575,0.031798020413035116
ENSG00000240065,0.031110842960608075
ENSG00000072786,0.028635097122702482
ENSG00000111875,0.027257271901398206
ENSG00000138795,0.02657651862815278
ENSG00000135655,0.02621004827399691
ENSG00000103316,0.025857080384126346
ENSG00000174788,0.02376571044078028
ENSG00000038274,0.023481559215131776
ENSG00000134283,0.021987090508543326
ENSG00000137225,0.021807374682572486
ENSG00000213465,0.021166292940314115
ENSG00000137876,0.0211180330913812
ENSG00000101310,0.020573596937407256
ENSG00000132780,0.019702003550735297
ENSG00000138071,0.019585805647988563
ENSG00000125818,0.018751145636472292
ENSG00000108387,0.018068523193491906
ENSG00000182149,0.01728830401335377
ENSG00000163161,0.01654026915399921
ENSG00000132155,0.015722118081088896
ENSG00000100519,0.015598085127758503
ENSG00000213889,0.014823810252250495
ENSG00000141068,0.013785675464234702
ENSG00000138668,0.012726878961957807
ENSG00000069345,0.012096102050014466
ENSG00000158717,0.011943884065238265
ENSG00000155959,0.011345237488492933
ENSG00000005007,0.011295288524178269
ENSG00000103202,0.011109059469239093
ENSG00000118007,0.008666267302980028
ENSG00000131238,0.008524065132113194
ENSG00000135046,0.008433574166304563
ENSG00000169554,0.008346558154555147
ENSG00000169896,0.007868641939902488
ENSG00000114354,0.006999660317434449
ENSG00000182718,0.006431978981411431
ENSG00000197943,0.006425450186951131
ENSG00000162894,0.005866414739552585
ENSG00000149269,0.005607652630372294
ENSG00000110011,0.0054813024771132035
ENSG00000115232,0.004865110598218336
ENSG00000111371,0.004453373827897941
ENSG00000126432,0.0020226951442834113
ENSG00000213585,0.0014622677053462668
ENSG00000231131,0.0012798169262915962
ENSG00000083642,0.0
ENSG00000083799,0.0
ENSG00000069329,0.0
ENSG00000073614,0.0
ENSG00000074201,0.0
ENSG00000074416,0.0
ENSG00000075415,0.0
ENSG00000075785,0.0
ENSG00000075884,0.0
ENSG00000076242,0.0
ENSG00000086102,0.0
ENSG00000088179,0.0
ENSG00000088205,0.0
ENSG00000088448,0.0
ENSG00000089157,0.0
