,weight
ENSG00000188130,0.03802092196509578
ENSG00000105609,0.03609424859244095
ENSG00000278600,0.035633934525221456
ENSG00000271736,0.03442813868734642
ENSG00000145808,0.03397747492591304
ENSG00000279865,0.03231241609841759
ENSG00000285569,0.031766545418236036
ENSG00000267041,0.0313849107225222
ENSG00000230417,0.03134967445781402
ENSG00000183615,0.03133839031360616
ENSG00000254733,0.03127399633387929
ENSG00000172482,0.031108092835171717
ENSG00000136235,0.030889002918691535
ENSG00000186103,0.030633346695749797
ENSG00000181577,0.030312544175594928
ENSG00000137216,0.03006309544709563
ENSG00000285807,0.03005084212772776
ENSG00000238057,0.029723092287023026
ENSG00000163586,0.02967127491560473
ENSG00000132801,0.028637374212132083
ENSG00000163631,0.028626668533583803
ENSG00000244681,0.02860032430211956
ENSG00000225492,0.028553135700149453
ENSG00000101463,0.027963527884142376
ENSG00000036672,0.027762482332686956
ENSG00000183971,0.027598890596850483
ENSG00000100410,0.02739696600396262
ENSG00000211445,0.027356577820913917
ENSG00000234592,0.027340096506818155
ENSG00000205364,0.027305171020470056
ENSG00000162949,0.027297342374912863
ENSG00000171564,0.027255922016110285
ENSG00000181322,0.027049827565328123
ENSG00000114439,0.026959815542748716
ENSG00000227855,0.026954955097455106
ENSG00000092009,0.026924756253572556
ENSG00000261783,0.026768382155132834
ENSG00000285230,0.026721925819177227
ENSG00000103175,0.026698011506650157
ENSG00000223648,0.02669570248605885
ENSG00000286797,0.026496107544819354
ENSG00000258984,0.026490457245702176
ENSG00000153165,0.026240505668157266
ENSG00000163909,0.02621015361408953
ENSG00000060566,0.026183884177620066
ENSG00000109854,0.02609630933500594
ENSG00000138160,0.026060949225953766
ENSG00000125868,0.02604161821119953
ENSG00000205209,0.02600166688251511
ENSG00000033170,0.025877741490039453
ENSG00000230310,0.025776296787333366
ENSG00000198963,0.02576630763337524
ENSG00000138738,0.02574813063415875
ENSG00000109099,0.025727215845409265
ENSG00000187017,0.02568128594534945
ENSG00000146147,0.025503954396406046
ENSG00000261241,0.025407477758420383
ENSG00000154898,0.02537138926647299
ENSG00000186314,0.025337945834574438
ENSG00000244268,0.0253036599853112
ENSG00000157152,0.02514306742699128
ENSG00000064300,0.025093117724381116
ENSG00000273294,0.025031208311563424
ENSG00000198840,0.02500840960732114
ENSG00000145936,0.025000198521145156
ENSG00000134779,0.024962840288399915
ENSG00000001617,0.024884569858308742
ENSG00000016402,0.02480433502503897
ENSG00000268833,0.024801847311183137
ENSG00000255002,0.02474587773080335
ENSG00000284693,0.02474470013959333
ENSG00000228939,0.024732782455411613
ENSG00000164292,0.024705787847335774
ENSG00000183019,0.02470185753940798
ENSG00000116096,0.024660901282861525
ENSG00000260907,0.02452599379699934
ENSG00000260592,0.02439271881668957
ENSG00000173611,0.02437156572253254
ENSG00000264958,0.02432061861112609
ENSG00000117305,0.02431225597707684
ENSG00000079257,0.024300935741134087
ENSG00000070159,0.024297857757019082
ENSG00000260027,0.024246204840725354
ENSG00000165949,0.024222676544927466
ENSG00000257880,0.024197282204089537
ENSG00000130203,0.024129557261425343
ENSG00000118785,0.024113232159223192
ENSG00000125319,0.024111753824174003
ENSG00000250722,0.024087002557697666
ENSG00000158874,0.024053254493224856
ENSG00000084734,0.024037817030115993
ENSG00000274808,0.024013621336682483
ENSG00000226025,0.02398917374359867
ENSG00000198134,0.02398402805482568
ENSG00000262406,0.023975008232272423
ENSG00000267390,0.02393545952036109
ENSG00000236114,0.023930834282765323
ENSG00000159335,0.023926635408526437
ENSG00000228564,0.02381571165084793
ENSG00000134042,0.02379593162981782
ENSG00000273654,0.02379308173232686
