,weight
ENSG00000103175,0.02242215204382083
ENSG00000168004,0.017147962033809118
ENSG00000278023,0.014692126210060052
ENSG00000236137,0.013418518701858903
ENSG00000131019,0.013065755740808878
ENSG00000084734,0.012463075267047012
ENSG00000228824,0.012413435480561437
ENSG00000162949,0.012281527172180326
ENSG00000286797,0.011933141340148041
ENSG00000137124,0.011229033264249127
ENSG00000259755,0.010826087454441698
ENSG00000157890,0.010183631156457183
ENSG00000171564,0.010053343402534819
ENSG00000105609,0.009909214876758407
ENSG00000205209,0.009808336426365404
ENSG00000225067,0.009562287699172358
ENSG00000278133,0.009478317707709611
ENSG00000257365,0.009465277029320415
ENSG00000145936,0.00943192226000979
ENSG00000245614,0.009389729039432708
ENSG00000278231,0.009384171222597517
ENSG00000125868,0.009282959090066503
ENSG00000185567,0.009125612625152634
ENSG00000234268,0.009098194067856008
ENSG00000136630,0.008911900523676464
ENSG00000260661,0.008859188782409749
ENSG00000248309,0.008810209762929897
ENSG00000158683,0.008671779274053755
ENSG00000148600,0.008653259292044316
ENSG00000267421,0.008587739358912688
ENSG00000228918,0.008559761761264877
ENSG00000139200,0.008546356637744692
ENSG00000249664,0.00850752573423298
ENSG00000181577,0.00823294927988171
ENSG00000266237,0.008039783287881906
ENSG00000124469,0.007723805936999759
ENSG00000158406,0.007683819005055557
ENSG00000276966,0.007651283920988217
ENSG00000288632,0.00763000582964073
ENSG00000253882,0.007564181608723798
ENSG00000179304,0.00755903899840568
ENSG00000280913,0.0075577632173347885
ENSG00000033170,0.007463912288558491
ENSG00000285906,0.007362236762631575
ENSG00000060566,0.007259425947652226
ENSG00000233387,0.007244721093278707
ENSG00000147378,0.00698166443608299
ENSG00000270060,0.006933751918705205
ENSG00000247157,0.006863968696197786
ENSG00000205940,0.0068357120204815495
ENSG00000158874,0.006814447881255401
ENSG00000162598,0.006746665160916363
ENSG00000279865,0.006737853316915807
ENSG00000260257,0.006674831958678894
ENSG00000071243,0.006532946808419529
ENSG00000256948,0.006469225428636138
ENSG00000036054,0.006359351988391548
ENSG00000285230,0.006207268744860951
ENSG00000196712,0.006194416077269655
ENSG00000159763,0.006191582697524815
ENSG00000249806,0.006160988390327523
ENSG00000205593,0.00615567668576549
ENSG00000216863,0.006127083680912575
ENSG00000140459,0.006084838178310394
ENSG00000267414,0.00600176055842015
ENSG00000214892,0.005996169799794273
ENSG00000280017,0.005942750206309221
ENSG00000233476,0.0059311775542746185
ENSG00000243701,0.005861595612604128
ENSG00000232709,0.005855709635851483
ENSG00000224848,0.0058144981890523575
ENSG00000125864,0.005703709157942299
ENSG00000182022,0.0056965839804886
ENSG00000178397,0.005651266634875279
ENSG00000157823,0.005628965036041485
ENSG00000148634,0.00556653179587549
ENSG00000188013,0.005504327260444019
ENSG00000104147,0.005493885524796981
ENSG00000276405,0.005493145183521289
ENSG00000204991,0.005427252842892961
ENSG00000180530,0.005303506539926853
ENSG00000075643,0.005296140820430407
ENSG00000170949,0.005238996402405369
ENSG00000118113,0.005234759827727485
ENSG00000170242,0.005222559769685189
ENSG00000164047,0.005220572312380378
ENSG00000100060,0.005166335719658993
ENSG00000231305,0.005099035772648359
ENSG00000101425,0.0050628990707414015
ENSG00000181322,0.005054547639223974
ENSG00000083067,0.005028980481009709
ENSG00000136449,0.004959078067201304
ENSG00000121064,0.0049542118858707865
ENSG00000172927,0.004856109215767383
ENSG00000102098,0.00485227094254115
ENSG00000275713,0.004786228975662748
ENSG00000250223,0.004777942139018714
ENSG00000254186,0.004743953489006832
